关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[下关火车主题公园] -> [适合不同时间段拍摄]; [叉路口] -> [重要摄影点],[超美] -> [愉悦/开心]; [日落] -> [敬畏/惊叹],[愉悦/开心] -> [推荐；下次还来],[日落] -> [愉悦/开心]; [芦苇与大桥景观] -> [敬畏/惊叹]
[船上观日落] -> [很美]; [VIP座] -> [超漂亮],[出片效果] -> [愉悦/开心]; [日落美景] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来],[日落] -> [愉悦/开心]
[绿皮火车] -> [充满历史感]; [旧栈桥遗址] -> [充满历史感],[历史感] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/下次还来],[江风] -> [舒适/愉悦]
[瞰景小高层] -> [看景视野好],[灼灼芳华] -> [愉悦/开心]; [万物生的生机感] -> [敬畏/惊叹],[愉悦/开心] -> [观赏自然景观],[春雷] -> [敬畏/惊叹]
[中山码头] -> [具有休闲价值],[休闲放松氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/建议他人尝试],[天气好时] -> [休闲放松]
[轮渡] -> [票价便宜]; [三层甲板] -> [太美了],[壮观长江景] -> [惊叹/敬畏]; [五星红旗迎风飘扬] -> [愉悦/开心],[愉悦/开心] -> [推荐；想再来],[五星红旗迎风飘扬] -> [感动/自豪]
[下关火车主题公园] -> [适合观赏落日]; [落日] -> [美丽],[适合观赏落日] -> [愉悦/开心]; [宁静氛围] -> [放松/平静],[愉悦/开心] -> [推荐观看落日地点],[落日] -> [愉悦/开心]
[长江日落] -> [浪漫]; [玻璃栈道] -> [视野开阔],[浪漫氛围] -> [愉悦/开心]; [视觉美感] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[橘子海日落] -> [治愈/敬畏]; [江风] -> [舒适]
[滨江风光带] -> [路线清晰]; [废弃火车] -> [有历史感],[人少景美] -> [放松/平静]; [工业风建筑] -> [兴趣/好奇],[放松/平静] -> [适合下午闲逛],[伸手就能触摸到江水] -> [愉悦/开心]
[废弃楼房] -> [变迁感]; [长江航道局] -> [怀旧感],[历史记忆] -> [怀旧/温馨]; [城市变迁] -> [悲伤/失望],[悲伤/失望] -> [感受到失落与无奈],[公共路] -> [怀旧/温馨]
[轮渡] -> [包出片]; [鲸鱼雕塑] -> [儿童喜爱],[包出片] -> [愉悦/开心]; [亲子活动] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[窗户框旁的景观视野] -> [愉悦/开心]
[浦口火车站] -> [好看/出片]; [复古工业风] -> [有设计感],[好看/出片] -> [愉悦/开心],[愉悦/开心] -> [推荐],[复古工业风] -> [兴趣/好奇]
[空置商业] -> [压抑氛围]; [上下楼梯] -> [路线不清晰],[功能缺失] -> [挫败/烦恼]; [沉闷氛围] -> [失望/悲伤],[挫败和失望] -> [不会推荐/不会再来],[上下楼梯阻碍] -> [挫败感]
[网红亲水玻璃栈桥] -> [有设计感]; [落日晚霞] -> [很美],[很美] -> [愉悦/开心]; [落日晚霞] -> [敬畏/惊叹],[愉悦/开心] -> [下次还来],[落日晚霞] -> [愉悦/开心]
[书店; 餐吧; 文创] -> [设施齐全]; [出片效果] -> [视觉美感],[宁静舒适氛围] -> [放松/平静]; [出片效果好] -> [愉悦/开心],[放松/平静] -> [推荐; 想常来],[拍照安全环境] -> [愉悦/开心]
[浦口火车站] -> [民国风格]; [民国风服饰] -> [出片],[出片] -> [愉悦/开心]; [咖啡好喝] -> [愉悦/开心],[愉悦/开心] -> [亲子活动]; [愉悦/开心] -> [推荐非节假日前往],[民国风建筑] -> [愉悦/开心]
,,[Neutral] -> [计划游览],
[下关火车主题园] -> [有历史感],[怀旧] -> [怀旧/温馨],[怀旧/温馨] -> [推荐],[下关火车主题园] -> [怀旧/温馨]
[轮渡] -> [能看到日落橘子海]; [观景台] -> [视野开阔]; [火车厢] -> [适合拍照],[绝美落日] -> [愉悦/开心]; [chill感受] -> [放松/平静],[愉悦/开心] -> [推荐路线和餐厅],[橘子海日落] -> [愉悦/开心]; [波光粼粼的江面] -> [敬畏/惊叹]
[浦口火车站旧址] -> [有文化底蕴]; [围蔽状态] -> [参观受限],[历史感] -> [怀旧/温馨]; [文学联想] -> [敬佩/惊叹],[怀旧/温馨] -> [独自游览],[廊檐下的燕子] -> [怀旧/温馨]
[南京长江大桥] -> [太好看了],[好看] -> [愉悦/开心],[愉悦/开心] -> [推荐],[长江大桥全景] -> [惊叹/敬畏]
,,,
[火车道围起来] -> [未开放]; [扬子江生态公园] -> [最美江岸线],[最美江岸线] -> [愉悦/开心]; [生态感] -> [惊叹/敬畏],[愉悦/开心] -> [推荐最美江岸线],[最美江岸线] -> [愉悦/开心]
[滨江景观绿道] -> [路线清晰]; [长江大桥] -> [开阔/壮观],[开阔/壮观] -> [愉悦/开心]; [宁静氛围] -> [放松/平静],[放松/平静] -> [适合悠闲漫步],[长江大桥和阅江楼景观] -> [愉悦/开心]
[夕阳、轮船、长江、火车、大桥] -> [浪漫的傍晚时分],[浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想再来],[夕阳与大桥交相辉映] -> [敬畏/惊叹]
[长江大桥] -> [有历史厚重感]; [引桥和楼梯] -> [路线清晰],[开阔视野] -> [放松/平静]; [历史回忆] -> [怀旧/温馨],[放松/平静] -> [走了5公里并吃面]; [怀旧/温馨] -> [推荐下次再来],[开阔江景] -> [放松/平静]
[玻璃栈道] -> [路线清晰]; [江边日落] -> [出片],[好看] -> [愉悦/开心]; [橘子海日落] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来],[江边日落] -> [愉悦/开心]
[百年轮渡] -> [有历史感]; [橘子日落] -> [很美],[橘子日落很美] -> [愉悦/开心]; [影视取景地] -> [文艺感],[愉悦/开心] -> [推荐; 下次还来],[橘子日落] -> [愉悦/开心; 敬畏/惊叹]
[长江大桥] -> [观赏全景绝佳地]; [绿道] -> [环绕景观优美]; [夜景灯光] -> [浪漫],[浪漫氛围] -> [愉悦/开心]; [宁静时刻] -> [放松/平静]; [壮观落日] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [漫步江边吹吹风]; [敬畏/惊叹] -> [拍照记录],[长江大桥夜景] -> [浪漫]; [江边静谧时刻] -> [放松/平静]
,,,
[炼油厂灯光] -> [独特]; [工业风] -> [震撼],[独特] -> [愉悦/开心]; [震撼] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [成功拍到满意照片],[炼油厂灯光+蓝调时刻] -> [震撼]
,,,
[长江大桥] -> [有历史感]; [工业风建筑] -> [协调/突兀],[怀旧氛围] -> [怀旧/温馨]; [晚霞景观] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[晚霞] -> [惊叹/治愈]; [工业风] -> [怀旧/温馨]
,[宁静夜晚] -> [放松/平静],[放松/平静] -> [建议前往],[夏季夜晚] -> [放松/平静]
[地铁系统] -> [路线清晰]; [步行可达] -> [交通便捷],[性价比高] -> [愉悦/开心]; [交通便捷] -> [放松/平静],[愉悦/开心] -> [推荐],[江景] -> [放松/平静]
[轮渡] -> [功能实用但频次低]; [绿皮火车] -> [无特别吸引力],[放松氛围] -> [放松/平静]; [计划再来] -> [兴趣/好奇],[放松/平静] -> [计划再来],[江风凉爽] -> [舒适/平静]
[中山码头] -> [文艺]; [民国首都电厂旧址公园] -> [有历史感]; [玻璃栈桥] -> [最佳机位],[文艺氛围] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]; [最佳机位] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来]; [敬畏/惊叹] -> [拍照; 观景],[玻璃栈桥] -> [敬畏/惊叹]; [五彩斑斓的时光隧道] -> [愉悦/开心]
[长江] -> [处处景]; [长江大桥] -> [可以看远处],[处处景] -> [敬畏/惊叹]; [心沉溺] -> [放松/平静],[放松/平静] -> [夜跑到江边],[夜晚江景] -> [敬畏/惊叹]
,,,
[大烟囱] -> [滨江风光带的遗憾]; [老电厂遗址] -> [开发停滞],[原生态风貌] -> [怀旧/温馨]; [开发停滞与市场搬迁] -> [悲伤/失望],[怀旧与失望] -> [回忆与反思],[民国邮政大厦] -> [历史厚重感]
[玻璃栈道] -> [出片]; [长江大桥] -> [雄伟壮观],[雄伟壮观] -> [敬畏/惊叹]; [优美风景] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[滔滔长江水] -> [敬畏/惊叹]; [雄伟壮观的大桥] -> [愉悦/开心]
[粉色小卖部] -> [走不动路],[吸引眼球] -> [愉悦/开心],[愉悦/开心] -> [想靠近观察],[粉色建筑] -> [兴趣/好奇]
,,,
[晚霞与云彩] -> [视觉美感]; [玻璃栈道夜景] -> [氛围感强],[平静的江边氛围] -> [放松/平静]; [火车穿梭场景] -> [愉悦/开心],[放松/平静] -> [骑行+观景结合体验很好]; [愉悦/开心] -> [推荐; 下次还来],[轮船声、江水声、老鹰声] -> [洗刷疲惫、心情平静]
[轮渡] -> [票价低廉],[票价低廉] -> [兴趣/好奇],[兴趣/好奇] -> [分享照片],
[夕阳的余晖] -> [如画卷般美丽]; [长江波光粼粼] -> [美不胜收],[美不胜收] -> [愉悦/开心]; [宁静氛围] -> [放松/平静],[愉悦/开心] -> [推荐/下次还想来],[夕阳的温暖] -> [放松/平静]; [绚丽的江景] -> [愉悦/开心]
[101明潮里] -> [有设计感]; [海军军械实习工厂旧址] -> [有历史感],[有历史感] -> [敬畏/惊叹]; [有设计感] -> [兴趣/好奇],[敬畏/惊叹] -> [推荐游览路径]; [兴趣/好奇] -> [建议跟随镜头一起穿越],[历史与现代交融] -> [愉悦/开心]
[轮渡服务] -> [2元性价比高]; [靠窗位置] -> [风景OK],[性价比高] -> [愉悦/开心]; [海滨城市般氛围] -> [放松/平静],[愉悦/开心] -> [推荐2元快乐线路],[阳光和天气] -> [感觉像来到海滨城市]
[南京长江大桥] -> [夜景完美]; [夕阳] -> [美丽],[夜景完美] -> [愉悦/开心]; [沿江走走] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[夕阳] -> [愉悦/开心]; [长江大桥夜景] -> [愉悦/开心]
[轮渡] -> [功能完善]; [登山路台阶] -> [差点累死]; [机械风建筑] -> [设计感],[登高望远] -> [愉悦/开心]; [机械风建筑] -> [兴趣/好奇],[愉悦/开心] -> [推荐登高俯瞰南京],[登高望远景色] -> [愉悦/开心]
[公交线路] -> [路线清晰],,,
[南京长江大桥] -> [历史与现代完美交织]; [蓝调天际线] -> [绝美],[浪漫氛围] -> [愉悦/开心]; [绝美景观] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [想常来],[灯光璀璨的城市天际线] -> [愉悦/开心]; [长江大桥夜景] -> [敬畏/惊叹]
[浦口火车站] -> [文艺]; [浦口火车站] -> [有故事],[文艺] -> [兴趣/好奇]; [有故事] -> [怀旧/温馨],[兴趣/好奇] -> [推荐]; [怀旧/温馨] -> [下次还来],[电影取景地] -> [兴趣/好奇]
[野生感的洲头公园] -> [自然野生感]; [礁石和灯光] -> [有氛围],[恢宏气势] -> [敬畏/惊叹]; [自然野生感] -> [放松/平静],[敬畏/惊叹] -> [天黑后不急着走]; [放松/平静] -> [推荐此地],[灯光染色江水] -> [敬畏/惊叹]
[靠近中山码头] -> [位置描述清晰],[香到冒泡] -> [愉悦/开心]; [推荐蒜泥和干煸口味] -> [兴趣/好奇],[愉悦/开心] -> [会再来],[香味] -> [愉悦/开心]
[长江大桥] -> [标志性建筑]; [长江大桥] -> [新金陵四十八景之一]; [长江大桥] -> [承载中国几代人的特殊情感与记忆],[承载中国几代人的特殊情感与记忆] -> [怀旧/温馨]; [新中国技术成就与现代化的象征] -> [自豪/归属感],[自豪/归属感] -> [推荐参观]; [怀旧/温馨] -> [重要文化遗产],[长江大桥] -> [自豪/归属感]; [长江大桥] -> [怀旧/温馨]
[长江大桥] -> [课本里提到的地方],[课本里提到的地方] -> [愉悦/开心],[愉悦/开心] -> [推荐/想来],[温柔的江风] -> [舒适/安全]
[中山码头] -> [浪漫]; [轮渡] -> [出片],[浪漫氛围] -> [愉悦/开心]; [放松环境] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[波光粼粼的江面和落日] -> [愉悦/开心]; [江风] -> [放松/平静]
[梧桐树] -> [电影感]; [颐和书馆] -> [惬意舒适],[文艺氛围] -> [愉悦/开心]; [悠闲时光] -> [放松/平静],[放松/平静] -> [享受下午时光]; [兴趣/好奇] -> [推荐打卡],[阳光下的梧桐树] -> [愉悦/开心]
[古城墙] -> [典雅]; [木绣球] -> [适合拍照],[典雅] -> [愉悦/开心]; [适合拍照] -> [自豪/归属感],[愉悦/开心] -> [推荐; 下次还来],[木绣球盛开] -> [愉悦/开心]
[南京南站; 下关火车主题公园; 百家湖1912; 夫子庙东园桥] -> [推荐拍摄点],[推荐拍摄点] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/愿意前往这些地点拍摄],
[绿皮火车] -> [时光倒流三十年]; [民国历史风格建筑] -> [历史感],[怀旧氛围] -> [愉悦/开心]; [教育意义] -> [怀旧/温馨],[愉悦/开心] -> [推荐游玩]; [怀旧/温馨] -> [想再来],[绿皮火车] -> [怀旧/温馨]
[长江一线江景] -> [景色优美]; [低密豪宅区] -> [宜居]; [历史遗址] -> [历史文化底蕴],[宜居] -> [自豪/归属感]; [景色优美] -> [愉悦/开心]; [历史文化底蕴] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/向往]; [自豪/归属感] -> [改善家庭最优解],[天然滤镜景观] -> [愉悦/开心]; [山景] -> [审美欣赏]
[落日] -> [好看/出片]; [江风] -> [舒服],[治愈] -> [愉悦/开心]; [舒服] -> [放松/平静],[治愈] -> [推荐; 下次还来],[橘子海落日] -> [治愈/愉悦]
,,,
[绿皮火车] -> [复古设计]; [滨江风光] -> [视野开阔]; [烧烤香味] -> [很香],[复古设计] -> [怀旧/温馨]; [视野开阔] -> [放松/平静],[放松/平静] -> [花上一个下午的时间慢慢逛],[日落] -> [愉悦/开心]; [烧烤香味] -> [愉悦/开心]
[长江大桥] -> [宏伟]; [主题公园设计] -> [设计不错]; [广播讲解] -> [历史感],[历史感] -> [怀旧/温馨]; [家庭氛围] -> [自豪/归属感],[温馨感] -> [家庭推荐]; [满足感] -> [还想再来],[大桥全景] -> [震撼/敬畏]
[下关火车主题公园] -> [年代感满满]; [铁路轮渡栈桥旧址] -> [复古工业风]; [浦口火车站长廊] -> [超级出片],[复古工业风] -> [兴趣/好奇]; [超级出片] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[波光粼粼的水面和芦苇荡] -> [放松/平静]; [下午阳光下的浦口火车站] -> [愉悦/开心]
[铁轨和老站房] -> [非常出片]; [老浦口火车站] -> [深厚人文气息],[深厚人文气息] -> [怀旧/温馨]; [拍照出片] -> [愉悦/开心],[怀旧/温馨] -> [推荐/下次还来],[老浦口火车站的历史意义] -> [敬佩/惊叹]
[老式英式建筑] -> [文艺范]; [红色大屋顶和米黄色外墙] -> [建筑美观],[文艺范] -> [愉悦/开心]; [有文化底蕴] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/感兴趣],[老式英式建筑] -> [愉悦/开心]
,[遇到对的人] -> [幸福],[幸福] -> [嘎嘎幸福],
[桥下] -> [夜晚景观有特色],[夜晚景观有特色] -> [兴趣/好奇]; [夜晚氛围不同] -> [愉悦/开心],[兴趣/好奇] -> [愿意尝试新体验],[桥下夜景] -> [愉悦/开心]
[云雾] -> [画面更加生动],[画面更加生动] -> [愉悦/开心],[愉悦/开心] -> 无法判断,[云雾] -> [愉悦/开心]
[轮渡] -> [可观赏日落]; [橘子海] -> [很美],[浪漫氛围] -> [放松/平静]; [橘子海] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[橘子海日落] -> [愉悦/开心]
[玻璃栈道] -> [玻璃桥上的风景不如南堡公园]; [夜景灯光] -> [最好看],[夜景灯光] -> [兴趣/好奇]; [拥挤人群] -> [失望/悲伤],[失望/悲伤] -> [不建议特地前来],[无人机拍摄夜景] -> [兴趣/好奇]
[鼓楼滨江风光带] -> [景观非常好]; [高层公寓] -> [景观非常好],[现代极简风格] -> [满意]; [实用改造] -> [满意],[满意] -> [长期居住],[长江之畔] -> [舒适宜居]
[长江大桥] -> [雄伟; 天堑变通途],[恢弘大气] -> [敬畏/惊叹]; [有历史感] -> [自豪/归属感],[敬畏/惊叹] -> [观景],[长江大桥横跨大江] -> [敬畏/惊叹]
[轮渡] -> [适合拍照]; [三层甲板] -> [限制人数],[适合拍照] -> [兴趣/好奇]; [日落美景] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[日落景色] -> [愉悦/开心]
[中山码头] -> [支付便捷]; [停车场] -> [停车方便],[支付便捷] -> [舒适/安全],[舒适/安全] -> [未明确表达回避或推荐意愿],[朱自清《背影》联想到的车站场景] -> [兴趣/好奇]
[碉堡] -> [位置隐蔽]; [射击口对着江面] -> [历史感],[位置隐蔽] -> [好奇],[好奇] -> [探索],[碉堡] -> [好奇]
[轮渡] -> [视野差]; [老火车站] -> [适合拍照],[适合拍照] -> [兴趣/好奇]; [公园难走] -> [挫败/烦恼],[挫败/烦恼] -> [不会推荐去左手边公园],[傍晚光影] -> [兴趣/好奇]
[背影咖啡] -> [被滥用]; [浦口火车站] -> [最假],[被滥用] -> [厌恶]; [最假] -> [失望/悲伤],[失望/悲伤] -> [不会推荐/不会再来],[没有铁轨] -> [失望/悲伤]
[民国建筑] -> [优雅]; [斑驳的墙壁] -> [历史的沧桑],[怀旧电影般] -> [愉悦/开心]; [历史见证] -> [敬佩/惊叹],[独特魅力] -> [细细品味],[时间静止] -> [怀旧/温馨]
[滨江骑行栈桥] -> [路线清晰]; [江面波光粼粼] -> [美丽],[放松氛围] -> [放松/平静]; [简单快乐] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[江面波光粼粼] -> [愉悦/开心]; [吹着江风] -> [放松/平静]
[下关火车主题公园] -> [江边风景超好]; [江豚观赏地] -> [浪漫]; [中山码头] -> [很出片],[江边风景超好] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐南京为旅游地]; [放松/平静] -> [下次还想来],[金灿灿的江面] -> [愉悦/开心]; [江豚跃出水面] -> [兴趣/好奇]; [靠窗视野] -> [舒适/安全]
,,,
无法判断,[认为2元花费物超所值] -> [愉悦/开心],[愉悦/开心] -> [推荐/会再次体验],无法判断
[浦口火车站] -> [浓郁历史文化氛围]; [大马路街区] -> [修旧如旧],[历史文化氛围] -> [敬佩/惊叹]; [网红打卡地] -> [愉悦/开心],[敬佩/惊叹] -> [推荐/想来],[修旧如旧建筑] -> [敬佩/惊叹]
[中山码头] -> [美美哒]; [浦口火车站] -> [适合拍照],[美美哒] -> [愉悦/开心]; [适合拍照] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[美美哒照片场景] -> [愉悦/开心]
