行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
散步; 拍照; 观景; 登高; 骑行; 观看灯光秀; 欣赏诗词光影; 看日落; 探索网红景点,推荐; 下次还来; 想常来,否,拍摄体验极佳; 登高视野震撼; 夜间光影浪漫
骑行; 参观纪念馆; 拍照打卡; 观景,推荐/下次还来,否,骑行体验良好; 参观收获颇丰
散步; 探索; 观察; 拍照,想再来探索其他区域,否,探寻民国建筑遗址感到愉快
观景; 拍照; 散步,推荐; 想常来,否,治愈暖人，一切都刚刚好
步行; 骑行; 观光,期待实现/向往,否,
观景; 看日落,推荐/可能再次前往,否,观赏晚霞体验极佳
,,否,
摄影; 模特合作寻找; 自我创作,无明显回避或接近倾向,否,通过慢门摄影弥补灯光不足
居住; 拍照; 约会; 散步; 夜跑; 看江景; 购物; 用餐,推荐; 下次还来看房; 想常住,否,拍照出片效果好；居住体验舒适
散步; 观景; 拍照; 游览; 参观展览; 观察动物,推荐; 想常来,否,适合本地人节假日随意走走，也能增加对南京历史的了解
散步; 闲逛; 发呆; 散心; 聊天; 拍照; 坐轮渡; 观赏江豚; 观景,推荐; 下次还来,否,一路闲逛下来好chill
拍照,计划白天再来拍摄,否,认为白天会更适合拍照
散步; 喝咖啡; 晒太阳; 拍照; 观察路人,想常来,否,舒适到产生心流
喝咖啡; 听音乐; 观景,推荐; 想常来,否,喝喝咖啡、放首歌、吹吹江风都很舒服
参观游览; 观察历史遗迹; 观赏风景; 等待日落; 绘画创作,推荐/想再来,否,每一刻都充满了艺术的灵感和生活的乐趣
徒步; 观景; 亲子活动,会推荐但提醒注意安全,否,总体体验较累但值得
乘坐轮渡; 游览; 回忆往事; 散步,推荐; 想常来,否,感受到强烈的情感共鸣
,,,
观察江豚; 跟踪监测,,否,对江豚成长感到欣喜
参观游览; 观看影视剧; 学习了解历史,推荐参观/了解工业遗产,否,
乘坐轮渡; 拍照; 游览,推荐; 想常来,否,拍照体验非常好，特别是live图效果
参观; 回忆; 拍照,推荐（隐含）,否,体验令人深思
打卡; 拍照; 夜游,推荐前往,否,认为值得打卡留念
拍照; 观景; 打卡,推荐/下次还来（隐含）,否,拍照体验很好，江景令人满意
City walk; 互动问答; 写生; 拍照打卡,推荐给其他家庭,否,孩子们能耐心完成绘画，情绪价值拉满
,,,
短暂停留,无法判断,无法判断,喜欢
锻炼; 散步,对鼓楼滨江持积极态度，对幕燕风光带有探索意愿,否,认为该区域适合锻炼和散步
,推荐/值得参观,否,
观景; 看日落; 拍照,推荐; 想常来,否,看日落体验非常浪漫
散步; City Walk,推荐/想再来,否,行走体验富有故事感和视觉享受
政策调研; 城市规划讨论,,,
观景; 拍照; 散步; 乘坐公交; 骑行,推荐; 想常来,否,光线太好，拍照体验佳
参观游览; 阅读; 聆听故事,推荐/想来体验,否,
观景; 拍照; 散步; 等待日落; 欣赏江豚,推荐; 下次还来,否,感觉非常浪漫、非常出片
开玩笑,,否,
,,,
,,否,
散步; 游览; 回忆,推荐/下次还来,否,感受到内心的安定和平静
,,,
骑行; 跑步; 打球; 摄影,推荐; 下次还来,否,骑行、跑步、打球、摄影体验良好
赏花; 踏青,推荐/想去,否,
观景,推荐; 想常来,否,观景体验令人印象深刻
观景; 参观; 学习/了解历史,推荐/感兴趣,否,
,,否,
遛狗,想搬家到此地,否,遛狗体验非常好
散步; 骑行; 拍照; 观景; 打卡; 就餐; 观江豚; 乘坐轮渡; 游览,推荐; 想常来,否,骑行顺畅; 拍照出片; 观景治愈
乘坐轮渡; 观景; 拍照; 看日落; 散步; 用餐,推荐,否,观夕阳和江豚为亮点体验
散步; 骑行; 观景; 拍照; 看日落; 乘坐轮渡; 游览,推荐午后出行,否,非常适合骑行; 视野开阔
散步; 观景; 拍照; 乘坐轮渡; 观赏江豚,推荐; 下次还来,否,沿江走走很放松; 拥有完整生命周期的落日体验很好
,,,
拍照; 游览; 散步,推荐; 想常来,否,适合拍照
观光游览; 拍照; 参观纪念馆; 观看日落,推荐; 想常来,否,交通便利可顺路参观
散步; 遛娃; 观景,下次还来,否,遛娃体验很好
参观游览; 拍照; 散步; 观景,推荐; 下次还来,否,体验感不错; 拍照效果很好
打车出行; 步行; 排队等候; 游览,不推荐周末或傍晚前来,是（因交通管制改变了路线）,轮渡和夕阳观赏计划失败，整体体验不佳
,,,
,,,
,,否,
Citywalk漫步; 拍照打卡; 参加市集; 购物,推荐; 想常来,否,市集体验良好
散步; 跑步; 观景; 拍照,推荐; 下次还来,否,跑步很顺畅; 拍照出片
参观游览; 拍照; 观景; 了解历史,推荐前往（虽然偏僻但值得）,否,适合拍照
拍照; 散步; 观景; 看日落; 休息; 聊天; 遛娃; 陪伴老人,推荐; 想常来; 下次还来,否,拍照很出片; 散步很惬意; 日落很美
乘坐轮渡; 拍照; 观景; 游览浦口火车站; 步行; 观看大桥亮灯,推荐；下次还来,否,轮渡体验让人忘记工作疲倦；拍照出片好看
拍照; 观景; 打卡; 看日落,推荐; 下次还来,否,拍照很出片; 看落日很治愈
观察建筑; 查阅资料; 线上讨论,希望参观但无法实现,否,对建筑历史感兴趣但因限制感到遗憾
观景; 散步,推荐; 想常来,否,欣赏景色体验良好
拍照; 观景; 亲子活动; 阅读; 逛街; 玩耍; 乘坐轮渡; 登高观景,推荐给家庭游客,否,拍照体验好; 适合亲子互动; 景色优美; 小朋友喜欢
驾车出行; 步行游览; 拍照; 打卡; 亲子活动; 逛街; 饮食,推荐（再次提及希望孩子长大后能理解《背影》）,否,带娃逛吃挺合适; 拍照体验良好
步行; 乘坐地铁; 乘坐公交,建议避开大桥公园,否,
观景,无法判断,否,风景太美
观察野生动物; 摄影,推荐; 下次还来,否,拍照体验令人满意
观景; 打卡,推荐; 下次还来,否,
摄影,不会特别推荐此拍摄点（除非改进设备或技巧）,是（调整曝光参数但仍失败）,摄影体验未达预期
遛娃; 观看剧组拍摄; 使用相机观察; 搜索影片信息,下次可能还会来碰运气看是否有拍摄,否,遛娃过程中意外获得有趣的观察体验
公共交通出行; 乘坐轮渡; 观赏落日; 观赏晚霞,推荐前往观赏晚霞/落日,否,靠窗位置是理想观景点
,,,
游览; 拍照; 散步,不会推荐/不会再来,是（因缺水改变原计划寻找水源）,体验较差，性价比不高
散步; 聊天; 分享心情,推荐; 想常来,否,散步很放松，聊天很开心
骑行; 观景; 拍照; 亲子活动; 研学; 散步; 看晚霞,推荐; 下次还来; 想常来,否,觉得累的时候就去看看，很治愈
,,否,
骑行; 打卡; 探寻历史,推荐; 下次还来,否,骑行和探索结合良好，体验有收获
无人机航拍; 视频剪辑,强烈推荐; 计划再次创作,否,本次成片最满意
摄影,下次还来,否,对摄影效果满意
散步; 游览; 拍照; 观察建筑细节; 阅读历史文化背景,推荐; 下次还来,否,沉浸式体验历史文化街区非常满意
,,,
散步; 闲逛; 拍照; 乘坐轮渡; 观赏江豚; 观景; 阅读文学作品联想,推荐; 下次还来,否,享受时光
散步; 观景; 拍照; 看日落,推荐; 下次还来,否,做了一个迷茫的梦；只留住美好回忆
摄影; 探索新视角,推荐/有再次尝试意愿,否,意外收获（正面评价）
摄影拍摄; 喝咖啡; 散步; 社交互动,推荐/会再来,是（从咖啡店转移到户外拍摄）,拍摄顺利完成并发布朋友圈表示满意
散步; 观景; 拍照; 参观; 休闲,推荐,否,适合复古工业风拍摄
乘坐轮渡; 拍照; 骑行; 观景; 游览历史遗迹; 参观儿童乐园; 品尝美食; 散步,推荐; 下次还来,否,骑行很舒服; 拍照很出片; 儿童游乐设施丰富
,,,
拍照; 打卡,推荐,否,
拍照; 游览,推荐/想来尝试,否,能够展现个人魅力与品味
,,,
乘坐轮渡; 观赏日落; 拍照,推荐; 下次还来,否,对轮渡观景体验满意
乘坐轮渡; 拍照; 等候船只; 观景,推荐在晴好天气或晚霞时前往,否,喜欢去拍照；二楼安全性高
拍照; 游览; 参观,不会再来专门参观,否,拍车打卡虽好，切记不要侵线
参观玻璃栈道; 拍照; 观景; 阅读; 购物; 餐饮; 参加龙虾节活动; 散步,推荐; 快冲,否,小朋友绘本特别多; 在火车里吃饭别有一番风味
参观; 游览,无明确倾向,否,
散步; 观景; 拍照; 参观历史遗迹; 品尝美食; 逛街; 休息; 骑行; 观展,推荐/想去,否,爬塔视野壮观; 食物味道好; 展览有趣
阅读; 学习,,,
乘坐轮渡; 拍照; 散步; 观景; 游览历史遗迹,推荐他人前往,否,比较适合拍照; 很舒适
观景; 看日落,,,
游览; 拍照; 观景; 乘坐轮渡,推荐,否,拍照体验满意; 观景体验满意
游览; 乘坐公交车; 步行; 拍照,推荐; 想常来,否,打卡新景点感到满意
拍照; 观景; 品尝小吃; 休憩,推荐; 下次还来,否,拍照体验满意; 消费合理; 休息舒适
拍照; 游览,推荐/想来体验,否,认为使用广角镜头拍摄非常方便
参观游览; 品尝美食; 绘画写生,推荐/下次还来,否,对火车站站台写生体验满意
观景; 拍照,推荐,无法判断,拍照出片; 观景震撼
观赏火车; 触摸火车; 拍照; 亲子互动; 游览,推荐; 想常来,否,特别的旅行; 充满了惊喜
乘坐轮渡; 观景; 发呆; 看日落,推荐; 下次还来,否,烦闷随着江风飘走，感到放松愉悦
散步; citywalk; 拍照; 观景; 乘坐轮渡; 骑行,推荐给他人; 强烈建议来看日落,否,骑行比较轻松; 拍照体验很好
参观历史遗迹; 徒步; 拍照; 乘坐出租车,会推荐参观但建议避开高峰或了解开放情况,是（因大桥公园关闭而改变原计划）,徒步体验满意但出租车费用超出预期
摄影; 航拍; 探索; 登高,仍推荐前往但需注意变化,否,摄影体验良好但部分限制带来不便
摄影; 散步; 观景; 室内拍摄,推荐; 下次还来,是（因人群改变计划前往下关火车主题公园）,拍摄体验满意，认为地点好拍
游览,,否,
,,,
参观游览; 写愿望; 听声音收集; 嗅觉体验; 制作图腾; 亲子活动,推荐; 下次还来,否,活动有趣; 适合文艺青年和亲子家庭
参观; 缅怀; 阅读文学作品; 拍照,想来参观,否,无法判断
观光游览; 拍照; 观赏晚霞; 庆祝国庆,推荐（强调尽量赶在夕阳晚霞时间）,否,拍照体验好; 观赏晚霞体验满意
乘坐轮渡,推荐他人体验,否,
拍照,准备开始营业（摄影服务）,否,正在练习摄影技术以提供专业服务
拍照; 打卡; 游览,推荐; 下次还来,否,拍照体验非常好，'随手一拍就是大片既视感'
自驾出行; 参观主题公园; 观景; 步行; 乘坐公交; 坐轮渡; 游览民国建筑; 亲子活动,推荐但建议避开高峰,否,行程安排合理且有趣
,,,
观景; 观鸟,隐含推荐（分享行为）,无法判断,
拍照,下次还来,否,
打卡; 游览; 观景; 亲子活动,推荐（实现儿时梦想）,是（因停车问题改变计划）,日落体验令人满意
享受生活,表达对当下状态的满足和享受,否,感到一切刚刚好，非常满意
无法判断,无法判断,无法判断,无法判断
观赏日落; 拍照; 乘坐轮船; 享用美食,推荐; 下次还来,否,拍照体验很好; 边看风景边吃美食很惬意
,,,
聚餐; 观赏江景; 拍照打卡,推荐; 下次还来,否,环境精致还能看到江景，菜品性价比高
,,,
,无法判断,无法判断,
就餐; 拍照打卡; 观赏风景; 社交聊天,推荐; 下次还来,否,幸福感爆棚; 满满的满足
拍照; 游览; 乘坐公共交通; 步行,推荐前往,否,拍照体验良好
散步; 观景; 拍照; 亲子活动; 乘坐小火车; 游玩游乐设施; 参观历史建筑,推荐; 下次还来,否,孩子们玩得很开心; 游乐设施丰富有趣
参观; 拍照; 观景; 打卡,推荐; 下次还来,否,参观体验满意
拍照; 散步,无法判断,否,心情好
拍照; 观赏景观,推荐,否,拍照体验取决于摄影技术
,,否,
观察; 购物,可能回避（对茶颜悦色未来表示担忧）,否,消费热度下降，品牌吸引力减弱
拍照; 观景; 打卡,推荐,否,拍摄体验很好
就餐; 观景,推荐,否,
聚餐; 观看表演; 拍照; 社交互动; 用餐,推荐; 下次还来,否,玩得开心; 餐饮满意
散步; 观察周边; 听声音; 感受氛围,,否,对老下关码头文化的欣赏和沉浸式体验
Citywalk; 步行; 骑行; 拍照; 观景; 等待日落; 观看火车,推荐; 很喜欢; 会再来,否,步行很舒适; 喜欢citywalk; 忘记工作烦恼
拍照; 游览; 阅读文学作品联想; 参观历史遗迹,推荐; 想常来,否,拍照体验好; 参观历史遗迹富有教育意义
散步; 拍照; 阅读思考; 滨江漫步; 观看晚霞; 探索旧址,推荐; 下次还来,否,走走逛逛带来自我治愈感
摄影,推荐拍摄地点,否,满意于拍摄效果
观景; 看日落,推荐/下次还来（隐含在正面评价中）,否,能看到长河落日圆的景象
散步; 观景; 拍照,下次还来,否,散步很放松，日落很治愈
参观; 游览; 摄影,推荐/有兴趣访问,否,
散步; 骑行; 拍照; 观景; 露营; 野餐; 看夕阳; 阅读/了解历史,推荐; 下次还来,否,好适合放空吹风散步; 巨巨巨巨chill; 美哭了
拍照,推荐/下次还来,否,拍照体验好，手残也能拍出好效果
欣赏落日; 拍照; 逛咖啡店; 用餐; 逛书店; 散步; 吹晚风,推荐; 下次还来,否,非常惬意舒服
拍照; 观景; 打卡; 散步,推荐; 下次还来; 趁最近天晴快去打卡,否,拍照机位好找; 观赏日落很值得
参观游览; 阅读历史资料,未明确表达但隐含文化认同,否,了解历史产生深刻共鸣
拍照,下次还来,否,拍照效果好但体验受限
夜游; 拍照; 观赏夜景; 乘坐轮渡; 阅读历史介绍; 散步,强烈推荐; 下次还来,否,拍照体验很好
,,,
散步; 观景; 拍照; 看日落; 野餐; 聊天; 发呆; 捡石头; 打水漂,推荐; 可以计划一下来看日落,否,在江边一下午很放松; 有夕阳确实很美
乘坐轮渡; 拍照; 游览,推荐; 下次还来,否,拍摄体验满意
,,,
拍照; 游览,推荐给他人,否,拍照体验非常满意
观景; 看日落,,,
乘坐轮渡; 观景; 观看江豚; 欣赏植物; 拍照,推荐; 下次还来,否,觉得非常值得
拍照; 参观; 购物; 喝咖啡; 阅读; 乘船游览; 观景,推荐; 下次还来,否,拍照很出片; 乘船很有趣
散步; 扔石头; 拍照; 游览火车车厢; 休闲娱乐,推荐; 下次还来,否,小朋友跑跑跳跳充分放电
观景; 拍照; 散步,推荐; 下次还来,否,观景和拍照体验都很棒
,,,
设计研究; 走访调研; 网络检索; 资料查阅; 实地考察; 历史重现创作,推荐/值得学习借鉴,否,虽然做的过程很辛苦但是大家都很棒
散步; 观景; 拍照; 吹风,推荐; 下次还来,否,散步和吹风很惬意
骑行,推荐/下次还来,否,骑得很来劲
,,,
拍照,,,
乘坐轮渡; 拍照; 观赏落日; 记录自然美景,推荐; 想再次体验,否,浪漫体验; 幸福感强烈
参观历史车站; 乘坐轮渡; 拍照打卡; 回忆文学影视作品; 散步游览,推荐；下次还想来,否,体验丰富且具有文化内涵
参观游览; 购物; 阅读; 喝茶; 拍照打卡,推荐,否,能满足大多数游客需求
拍照; 观景; 看日落; 散步; 喝茶; 看书; 闲逛; 打卡; 聊天; 约会,推荐; 下次还来,否,随手拍都好唯美; 仿若穿越旧时光
,,,
,,,
散步; 拍照; 观景,推荐/下次还来,否,拍照很出片
,,,
